0,1,2
ANDAMAN &,,
NICOBAR ISLANDS,,—
"2
ANDHRA PRADESH/
TELANGANA",Hyderabad (UA),"Vijayawada (UA), Warangal
(UA), Greater Visakhapatnam"
"2
ANDHRA PRADESH/
TELANGANA",,"(M.Corpn.), Guntur (UA)"
"2
ANDHRA PRADESH/
TELANGANA",,WA
PRADESH,—_,
"ASSAM
BIHAR",,"Guwahati
UA}
Patna (UA"
CHANDIGARH,,Chandigarh (UA
CHHATTISGARH,,"Durg-Bhilai Nagar (UA)
i"
CHHATTISGARH,,Raipur (UA)
"8.
DADRA & NAGAR",,
9 DAMAN & DIU,,
"10
DELHI
11
GOA",Delhi (UA),
"12
GUJARAT","hmadabad (UA
)","Rajkot (UA), Jamnagar (UA),
Bhavnagar (UA),"
"13
HARYANA",,"Vadodara (UA), Surat (UA
Faridabad*(M.Corpn.),"
PRADESH,,"G
urgaon*(UA)"
"15. JAMMU & KASHMIR
16.
JHARKHAND",,"Srinagar (UA), Jammu (UA)
Jamshedpur (UA),"
"17
18. KERALA","Bengal ore/Bengaluru
(UA)","Dhanbad (UA), Ranchi (UA
Bokaro Cit
UA
Belgaum (UA), Hubli-Dharwad
(M.Corpn.), Mangalore (UA),
Mysore (UA), Gulbarga (UA)
Kozhikode (UA), Kochi (UA),
Thiruvanathapuram (UA),
Thrissur (UA), Malappuram"
"+
19. LAKSHADWEEP",,"(UA), Kannur (UA), Kollam (WA)"
"20
MADHYA PRADESH",—,"=
G
walior (UA), Indore (UA),
Bhopal (UA), Jabalpur (UA),
Ujjain (M. Corpn.)"
